content,Pelabelan,label
Mantap sekali,Positif,0
Bagus,Positif,0
Bagus,Positif,0
Siip,Netral,2
Baik,Positif,0
Terimakasih.,Netral,2
Apk. Dan cs nya. Sangat baik dan penanganan permasalahan cepat langsung di proses,Positif,0
"Apk jlek, harga lebih mahal dan banyak biaya biaya lain nya, biaya apaan coba Auto uninstal",Negatif,1
"Selalu salah perkiraan range jarak dari rmh ke tmpat restonya,tolong diperbaiki lagi sistem nya",Negatif,1
"Mantap,,,bisa digunakan untuk orang banyak ????",Positif,0
Mantulllll,Positif,0
Buruk operasinya sering gak bisa,Negatif,1
Performa aplikasi semakin turun,Negatif,1
Aplikasi Transportasi satu2nya di Hp cm GOJEK..VIVA Gojek!!!!,Positif,0
Oke,Netral,2
"Saran aja buat gojek,,, lebih baik murah banyak pelanggan daripada mahal dikit pelanggan..",Netral,2
"Tolong untuk bikin menghapus komentar di gofoot, tolong sediakan edit ulasan dan rating bintang please",Netral,2
"sudah bagus,,tingkatkan lagi pelayanan",Positif,0
Terima kasih. Semoga sellau semakin semarak voucher dan memudahkan.,Positif,0
Ongkirnya skrng mahal...,Negatif,1
Semoga bermanfaat,Positif,0
sekarang uda jarang bgt ngasi voucher disc gofood huhu,Netral,2
"Layanan nya makin ke sini makin kacau, harga mahal, parah lah ini",Negatif,1
Mantulity,Positif,0
Sangat berguna,Positif,0
voucher nya dikit akh mlz,Negatif,1
Gojek sangat praktis,Positif,0
Terbaik,Positif,0
"saya lupa pin dan saat saya ingin mebgganti pin tidak bisa, padahal kode otp sudah saya kirim",Negatif,1
Mengapa yg jln kan gocar hemat hanya mobil tertentu Coba kasih penjelasan Dan bagaimana nasib driver yg tidak dapat order dengan ada nya gocar hemat,Netral,2
Di daerah ku gk ada yg jualan di gojek. Mau pesen makanan tapi gk ada yg jual sama sekali??,Negatif,1
Sangat membantu. Thanks gojek indonesia,Positif,0
Usefull apps,Positif,0
Good...,Positif,0
Semua ok,Netral,2
Mantap,Positif,0
Tidak jelas,Negatif,1
"Terimakasih gojek, mau pesan makanan dgn mudah banyak voucher dan cashback nya setiap resto... Mau bayar² juga ada picture nya lengkap deh ????",Positif,0
Memuaskan ....,Positif,0
Rama dan keren banget,Positif,0
Sangat sangat sangat terbantu,Positif,0
"Kok semakin kesini makin gak jls gopay. Isi pulsa gak masuk. Di laporan sukses terkirim, gitu jga sma transferan ke qris, di laporan sukses, di sno nya blm ada msuk.",Negatif,1
Sangat terbantu sama aplikasi ini.apalgi kalau ada promo.Gopay laternya jg top banget,Positif,0
"Auto delete nieh aplikasi. Pengguna gojek orang menengah kebawah, masa harga tidak sesuai kantong (alias menengah ke atas). Di download lagi kalau sudah upgrade lebih baik...",Negatif,1
Ok,Netral,2
??,Positif,0
Mantap,Positif,0
Sangat membantu !,Positif,0
Gojek oke bgt,Positif,0
Asyik,Netral,2
"Performa sistem gojek makin menurun, apalagi pelayanan Customer care belum layak bagus. Masalah harga gojek Saya no komen.",Negatif,1
Terimakasih,Netral,2
Suka pake gofood,Positif,0
Dulu lancar. Skrg kok mau log in gabisa ya udh install apus berkali kali ttp gbsa!,Negatif,1
Ok tarifnya jangan mahal2,Netral,2
Oke,Netral,2
"Ka , saya daftar gopaypinjam knpa pas terakhir mau verifikasi data tapi gabisa trs notifnya , oppss ada yang salah , coba nanti lagi yaa , gtu knpa yah ?",Netral,2
Aplikasi ini sangat membantu saya dalam berpergian ke manapun,Positif,0
"Kali ini saya kasih ?? 1 dan uninstal..sy kecewa karena gopay later saya yg limitnya hanya 100 ribu diblokir krn sy telat bayar sehari krn lupa. Sedangkan pemakaian gojek sy sebulan rata2 1.5 juta dan status sy sudah Anak Sultan, tp tidak dipertimbangkan oleh gojek. Sy beralih ke aplikasi Hijau sebelah yg lbh murah tarifnya dan lbh menghargai sy sbg pelanggan. Lagi2 Gojek hanya menjawab pengaduan dengan kalimat template dan itu2 terus. Fix bye",Negatif,1
Mantap pokonya..,Positif,0
Bagus aplikasi sdh sampai desa pelosok,Positif,0
"Cari lokasi tujuan tidak pernah bisa ,,tolong di perbaiki,,",Negatif,1
Semoga di beri hidayah ??,Netral,2
aku kasih bintang 5 Kalo udh Ada tarik tunai ke Alfamart jadi biar gamapang,Positif,0
Di blokir tanpa adanya pemberitahuan..aneh,Negatif,1
"Nice,on time",Positif,0
Sangat nyaman dan enak,Positif,0
"Aplikasi paling membantu.ngga ribet, dan sll ada aja reward nya.. Cuma klo saran kasih kupon diskon nya sesuai kan dengan apa yg sering dipesan pelanggan dong..?? Ky saya sering pake goride,kupon diskon nya malah dikasihnya gofood.. kan ngga kepake..??",Positif,0
Sat set sat set,Positif,0
Terbantu sekali dengan apk ini,Positif,0
Baik..,Positif,0
Selamat malam admin gojek tolong masalah gopaypinjam saya eror bagaimana cara agar bisa cek tagihan gopaypinjam lagi??,Negatif,1
Bagus Sangat membantu,Positif,0
"Gopaycoin hanya jadi tempat penumpukan dana yang sulit digunakan karena penggunaan terbatas. Gopaycoin harusnya bisa digunakan diseluruh bentuk transaksi pada aplikasi ini. Tapi gopaycoin tidak bisa digunakan sebagai opsi pembayaran transaksi seperti pulsa dan masih banyak lagi. Saya mengerti kenapa gopaycoin sengaja dibuat dipisahkan dengan gopay. Perusahaan pasti ingin memaksa secara halus pengguna bertransaksi tanpa promo, sehingga mengurangi beban ""bakar uang"" perusahaan.",Negatif,1
Selalu membantu,Positif,0
Saya kecewa banget saya driver sudah sering on jarang dapat order karena diaplikasi customer motor saya sering gak kelihatan,Negatif,1
Baru coba,Netral,2
"Muli tidak ramah sekarang, 3 tahun berlangganan gopay later dan bayar selalu tepat waktu, ketika baru kali ini telat seminggu saja sudah diblokir. Makin matre dan kaku.",Negatif,1
No coment,Netral,2
Sangat membantu,Positif,0
Senang,Positif,0
sayur daun singkong di aplikasi berupa sayur gulai kok yg dtg cuma rebusan. bumbu kurang mantap,Negatif,1
alamat suka mental tolong perbaikan seringkali driver nya marah2,Negatif,1
GoJek lagi bermasalah kah .. kug di buka gak bisa,Negatif,1
Sudah jadi langganan naik gojek respon cepat mantapppp,Positif,0
sering² ada promo yaaaa,Netral,2
Tf ke payment lain suka eror,Negatif,1
"Seharusnya pemesaan dibuat simpel tidak bertele bertele"" .saya driver disuruh tante buat memesan gosend.saya driver dibuat bingung apalagi tante saya .hadeh",Negatif,1
Mantul,Positif,0
Kemudahan dalam transaksi dengan apk yang lain,Positif,0
"Terus kasih promo2 & voucher diskon ya, terutama food nya sih.",Positif,0
Sangat membantu,Positif,0
"Klo ada driver yg meninggal dirampok,begal...apa ada tindakan pertanggung jawaban dari pihak kantor pusat gojek,bos gojek apa tindakanny,spt yg terjadi kemaren terhadap rekan kita gocar,yg di kota malang jatim...",Netral,2
Not bad,Netral,2
Semakin lama semakin menurun performa nya tolong segera di perbaiki dong GK nyaman banget,Negatif,1
alhamdulillah,Positif,0
"Ok, haturnuhun",Netral,2
Bagus,Positif,0
Ok,Netral,2
Mengecewakan sekali!!!,Negatif,1
Good.,Positif,0
Aplikasinya sangat membantu dan banyak promo,Positif,0
Alhamdulillah,Positif,0
"Apa dah, mau pre order tiket lewat Gotix selalu ""server kami padat merayap"". Padahal kalo bagus bakal langganan mesen via Gotix. Payah",Negatif,1
Makin lama ini aplikasi tidak tegas dengan driver yang melanggar aturan. Tidak pernah menjemput pelanggan. Sdh dilaporkan tapi driver masih tetap ada dan Kalau dipesan masih dapat driver yang sama.,Negatif,1
Enak cepet praktis,Positif,0
Keren,Positif,0
Gopay gw sering ilng,Negatif,1
"Tidak ada costumer serveice yg bisa dihubungi. Gojek melakukan ""penggelapan"". TIDAK ADA NIAT GIJEK UTK HUBUNGI COSTUMER. TIDAK ADA MENU LAPOR DI BANTUAN. HANYA SEARCH YG ADA. BANTUAN TIDAK AKTIF, BGMN BUAT LAPORAN??????",Negatif,1
"Beberapa kali ketemu dengan Driver yg waktu penjemputan berubah rubah sampe 4 kali mulai dr 4 menit kemudian berubah jadi 6 menit setelah seharusnya driver sudah sampe ternyata waktu penjemputan berubah lagi menjadi 9 menit Customer yg dirugikan kalo dgn cara cara seperti ini, kami sudah bayar kami rugi waktu",Negatif,1
Tetap semangat y gojek,Positif,0
Kenapa sampai sekarang gojek tidak bisa order dari balikpapan ke IKN Nusantara,Negatif,1
Friendly user,Positif,0
Ya Like Ok,Netral,2
saya sangat senang dan mengapresiasi kan bintang 5 terhadap apk ini karena membantu saya mendapatkan kembali akun lama saya setelah beberapa tahun lalu meng uninstallnya dan semua keamanan yang terhubung saat itu terputus namun sekarang dengan sistem yang semakin canggih skr dgn mudah saya dapat mengakses kembali akun tersebut serta data data keamanan yang terputus dapat saya perbarui dengan akurat sehingga saya bisa mengakses kembali akun tersebut tanpa harus membuat akun yang baru terimakash??,Positif,0
Good,Positif,0
makin di upgrade makin eror,Negatif,1
Good,Positif,0
Auto uninstal aplikasinya karena gopaylater akun saya tdk bisa dipakai kembali(pdhl tiap bulan tdk pernah gagal bayar) Dan auto tarik lembar saham di goto juga (kalau ini sih dl beli karena saya merasa menggunakan gojek dan membantu bangun karya anak bangsa). Ya intinya kecewa aja.,Negatif,1
Ga beres nih gopay saya transfer ke bank BNI belum masuk masukk,Negatif,1
Bagus dan keren,Positif,0
Bagus,Positif,0
transfer lama,Negatif,1
Mantap,Positif,0
Mantap,Positif,0
Sangat memuaskan,Positif,0
"Karya Anak Bangsa?? Hmm... Tolong buat Aplikasi ini untuk Saling Menguntungkan, Bukan Untuk Merugikan . Bukan Untuk Memperkaya Diri, Jangan Sampai Allah yang Menegur . Terima Kasih",Negatif,1
abangnya baik,Positif,0
Is the best,Positif,0
Radio way,Netral,2
Good,Positif,0
"Tunggakan sudah dibayar, tapi ko paylater masih tetap diblokir",Negatif,1
Muantab mantul,Positif,0
"Mau masuk lagi ke akun sulit sekali, padahal apk sudah di update dan jaringan nya lancar terus, mohon diperbaiki lagi sistemnya??",Negatif,1
Goodjob,Positif,0
"Mantap & gud, hanya saja pendapatan driver sangat sedikit. Padahal kami sebagai customer bayarnya mahal, kalau di hitung² potongannya lebih dr 20%. Saran untuk owner nya kurangi lagi potongannya, dan naikkan pendapatan driver. Supaya drivernya merasa nyaman kerja sebagai ojol...",Positif,0
mantap....,Positif,0
"Pelayanan gojek ok tapi sayang gopaylater cicilan ga bisa dgunakan padahal ga pernah telat bayr ny, mohon dkembalikan seperti semula agar bisa dgunakan kembali gopaylater cicilan",Netral,2
"Aplikasi tidak jelas... Mendadak gopaylater di blokir. Sudah email, jawabannya jg gk jelas tujuannya kemana.",Negatif,1
Good,Positif,0
Kenapa lemot yah ada kendala kah gojek?,Negatif,1
Nice apps,Positif,0
Sangat senanb,Positif,0
Pt.gojek saat ini tidak fair dalam pembagian orderan tidak bisa melacak mana driver yg konsisten...sangat timpang tidak adil pada driver dalam pembagian order,Negatif,1
Aplikasi yg memudahkan kehidupan di hari hari dan mudah di gunakan mantap jiwa,Positif,0
good job,Positif,0
Ok,Netral,2
??,Netral,2
"Aplikasi menyesatkan. Map sllu rancu, pembyaran jadi doble ke drivernya dn Ambil untung trllu bnyak.smoga cepet bangkrut",Negatif,1
Makin sering pakai gojek..makin banyak diskon,Positif,0
Mantap,Positif,0
Gopaypinjamnya banyak potongan ini itu,Negatif,1
Sangat puas...,Positif,0
"Parah aplikasi gojek sekarang, mau apa2 harus pembaruan, setelah pembaruan tetep ga bisa, gimana tuh? Padahal udah upgrade, mau minta top up ga bisa. Terus sekarang cashback masuk nya ke coins udah gitu coins ga bisa dipake di sebagian pembayaran. Maaf uninstal lah ga pake lagi. ??",Negatif,1
4 dulu dah kan baru nyobain,Netral,2
ok,Netral,2
Ga berguna tbtb gopaylater w diblokir padahal gaada tunggakan. Byeee beralih ke grab dan maxim aja enak.,Negatif,1
Sangat membantu dan nyaman ketika kemana saja semakin mudah,Positif,0
Kenapa biaya layanan aplikasi besar sekali... kasian drivernye tuh,Negatif,1
Biaya aplikasi terlalu mahal ongkir pun lebih dri 10k,Negatif,1
Baru daftar gopay di blokir Voucher tidak bisa di akses...,Negatif,1
Mohon diperbaiki,Netral,2
"Gojek sekarang belagu karena sudah menjadi perusahaan raksasa, lebih parah lagi terdapat biaya tambahan aplikasi dan lain-lain yg bisa membuat pengguna berpikir 2x untuk menggunakan layanan aplikasi tanpa memikirkan dampaknya ke mitra drivernya. Menyedihkan !!",Negatif,1
Mengecewakan gopayleter gua di blokir padahal tepat waktu,Negatif,1
Sangat membantu,Positif,0
Tolong di perbaiki .... Saya gak gorder... Tiba tiba kata driver gojek saya gorder.. Kan aneh....,Negatif,1
Nice apps,Positif,0
Ok banget,Netral,2
On time and good service,Positif,0
"Ga pernah dpt vocher lagi selama 6bln Banyak bgt biaya ini,biaya itu,biaya layanan. Harganya terlalu tinggi dari resto karna potongan dari apk nya naik. Terbaik lah buat apk sad!!!",Negatif,1
Mantap gopay,Positif,0
Sangat bermanfaat,Positif,0
Suka sama apl ini,Positif,0
Membantu banget ??,Positif,0
Go-jek is the best forever,Positif,0
"Turunin langsung bintang 1, tiba² gopay paylater diblokir... Dan langsung unistall.",Negatif,1
Sangat berguna sekali,Positif,0
bgus,Positif,0
Pindah apk sebelah krna disini promonya dikit wkwk,Negatif,1
Klo kasih orderan lihat dong posisi driver.yg Deket banyak .kenapa harus driver yang jauh.,Negatif,1
Eror terus pemulihan akun,Negatif,1
Payah gojek nya nih ?? aplikasi nya kurang memuaskan,Negatif,1
T O P,Positif,0
aplikasi nya mudah di mengerti sanganlt nyaman .. akan tetapi mohon maaf sebelum nya . apabila upgrade versi nya .. mohon sekali .. untuk alamat jangan main hapus aja .. ini kebanyakan alamat langganan saya hilang smua .. lebih nyaman update an sebelum nya .. karna alamat nya gak ilang ilang .. kalo yg sekarang alamat nya sebagian 80persen hilang jadi sangat di sayangkan apabila terjadi hal2 yg dltidak di inginkan customer lain nya... terimakasih,Positif,0
Keren,Positif,0
Bagus banget,Positif,0
Okeee,Positif,0
Sangat bagus,Positif,0
Aduh barusan dapat driver suruh isiin gopay kembalianya 90.000 masa ga di isiin ... parah sihh,Negatif,1
"Membantu banget,,, apalagi kalo lagi promo,,, T O P pake B G T",Positif,0
Sangat membantu keseharian saya terima kasih gojek ??,Positif,0
Sangat membantu,Positif,0
nice,Positif,0
"Memang cukup membantu aplikasi ini, tp biaya aplikasi yg blm jelas untuk apa & sifatnya fluktuatif ketika ramai order",Positif,0
Susah bayar gopaypinjam,Negatif,1
"Good and wonderful,,",Positif,0
"Kecewa sama aplikasi gojek,promonya dibetulin,katanya dapat casback malah hoak...udah komplain suruh kirim SS transaksi ga ada tindak lanjut.buruk pelayanan cs nya dan lelet...Tambah buruk sekarang gojek pelayananya, Paylater aja di blokir padahal pembayaran lunas terus.",Negatif,1
"Pinjolnya termasuk tinggi, 7%/bln secara keseluruhan termasuk biaya admin, dimana pinjol yang lain berni kasih 2,5%",Negatif,1
sangat membantu kalo urgent gk ada yg anter..,Positif,0
"mantap,,,,sangat membantu...",Positif,0
Harga makanan dan transportasi sangat mahal.,Negatif,1
Mantap sekali,Positif,0
"Mantap makin kesini makin kesana. Pesen gofood Biaya tambahannya banyak bgt. Ada biaya parkir, biaya kemasan, biaya lain2. Ga sekalian biaya hidup dimasukin.",Negatif,1
Performa menurun jadi salah alamat ada ada saja,Negatif,1
"Mantap,,, Jgn smpe pas persen supirnya cewek karena gua cowok jadi gak enakan... Yang ad ntar saya cancel klau dapet cewek supirnya... Kecuali pelanggannya cewek supirnya cewek gak masalah",Positif,0
Halo saya mau nanya kalau kita lupa pin dan no hp dh mati gak dpt terkirim sms kayak mana ya,Netral,2
Apasih masa ga top up apa² malah ke kekuras 39 rb di disney+ mana waktu itu kekuras 89,Negatif,1
Bagus banget untuk mempermudah hidup manusia di zaman sekarang yang serba moder,Positif,0
Bagus,Positif,0
Gopaylater terblokir hanya karna telat 2 hari sja... padhal 1thn terakhir pengguna aktif gopaylatter dan XLallu tepat waktu membyar.. bgaimana Gojek menanggapi mslah sperti ini! Sudah email jawabanya ttp sma sadja.. bukanya mempermudah konsumen mlah menyulitkan ??????,Negatif,1
Fitur yang bagus,Positif,0
Aplikasi mantap,Positif,0
Saya sudah tidak simpati lagi dengan gojek karena harga lebih mahal dari aplikator lain dan semoga PT GOTO gojek Indonesia selalu berpihak sama mitra karena tanpa mitra gojek bukan apa2...tanksh,Negatif,1
Asyik keren,Positif,0
????,Positif,0
Aplikasi sampah...menyengsarakan para driver...ayo rame2 uninsatal,Negatif,1
Top markotop,Positif,0
Sangat membantu,Positif,0
Jadi alternatif berkendara dg cepat,Positif,0
"Berakhir saya uninstal karna di suruh bayar biaya toll,,padahal gak pernah lewat toll saya.,kocak",Negatif,1
Gojek knp sih sering blank...dalam perbaikan tapi lama.... Kita gak bisa buru² jadiya.. apalagi fitur baru nih transaksi tf ke bank lain ..server sibuk terus .. makin lama makin lemot sih..semua transaksi gagal.. kecewa.,Negatif,1
"Udah update, tpi di dalemnya suruh update aplikasi mulu, pls bru first time lo make gnian, mana udah di hadepin hal² kaya begitu????",Negatif,1
Mantap,Positif,0
semoga nyaman ya pake gojek,Positif,0
Tiba tiba gagu,Negatif,1
Baguss,Positif,0
HUA MAKASI APK INI SGT MEMBANTU SY UNTUK KMNA SJ LOV U,Positif,0
Makin lama makin lemot,Negatif,1
Cepat,Positif,0
minn ganteng bngettt kiwww,Netral,2
ok,Netral,2
Sangat Bàgus pada waktu di butuhkan selalu ada untuk kita,Positif,0
Gojek mantap apa lgi gopay nya tf nya pun gratis,Positif,0
"Bagus, membantu",Positif,0
Setiap mau pembelian masalah koneksi anda terputus padahal jaringan bagus banget gojek sekarang makin di update makin ga jelas tolong di perbaiki.,Negatif,1
Bisa sangat membantu dan bermanfaat untuk semua.,Positif,0
????????Oke,Positif,0
solusi ketika mau berangkat wktu sdh mepet jogeg pilihan utama,Positif,0
"waktu kirim sameday atau instan makin lama makin lama ,gak bisa diandelin kalo lagi mendesak??????payah",Negatif,1
Pekerja nya ramah,Positif,0
"Makin update makin parah,tiba2 gopay e plus saya di kembali kan ke reguler",Negatif,1
Seneng sekali dengan pelayanan aplikasi dan driver nya,Positif,0
"Tolong jangan tarifnya jangan terlalu di mahalin yah untuk cash. saya naik gojek awalnya 19.000,belum setengah jam tarifnya udah naik jadi 24.500.",Negatif,1
Gak bagus,Negatif,1
"Semua aplikasi bagus kecuali go food, tolong go food nya harganya di murah kan ya.",Negatif,1
Siipppp.....,Netral,2
Terima kasih bantuannya,Netral,2
Terimakasih,Netral,2
Terbantu banget adanya gojek,Positif,0
Jelek,Negatif,1
"Hallo Kakak,. Daerah Garut Selatan belum ada yang pake aplikasi gojek nih,,:'( yah sayang banget,padahal orang-orang disini pada mau COD terus kalo jajan.",Netral,2
woiii daerah sampit gaada resto tlol gmn woi,Negatif,1
mantul pisan??,Positif,0
"promo di akun saya kok ga abis abis ya?? capek saya kl mau pulang, pasti ada temen yg pake hp saya buat order gojek pake promo, tolong dong buat pihak gojek kasih saya promonya sedikit aja. saya jadi pulangnya telat gara-gara nunggu temen order gojek setiap hari.",Negatif,1
Aplikasi keturunan PKI. Buatan anak DAJJAL,Negatif,1
Good,Positif,0
"Mkasihh,semoga mkin bnyak promonya yaa hahaaha",Positif,0
"tiap menginstal apk gojek lama banget,terus makin kesini makin lemot",Negatif,1
Ingat buat PT GOJEK INDONESIA tanpa mitra kalian bukan apa2 tolong sejahterakan dulu mitramu baru kalian bisa maju,Negatif,1
ok,Netral,2
Good,Positif,0
Ok banget aplikasi nya,Positif,0
Pelayanan baik..,Positif,0
"Dapet driver sering ga bener, tolonglah, ada sistem penilaian ke driver yang sering nunda dan diem di tempat doang, udah dapet nih gerak juga engga drivernya sepele banget",Negatif,1
"Makin lama tarif gojek makin mahal, sekarang ada pembayaran jasa aplikasi nya juga ?? saya sebagai konsumen merasa pelayanan juga kadang kurang memuaskan dengan harga tarif yg makin naik.",Negatif,1
Semoga promonya lebih banyak lagi,Positif,0
"GoMart di Jogja Paraaaaaahhh!!! 2 hari berturut2 pesan roti make 2 hp yang beda, tpi rotinya habis pas driver udh di toko. Ga dapat potongan krn belanjaan kurang. Ini customer dijadiin apa? Masa diperlakukan gini? Pdhl aku sering mke gojek dah dri dulu. Perusahaan sebelah memperhatiin customer yang loyal, menjaga hubungan baik, Customer Relationship Managementnya bagus, segi pricing jga oke, diskonan gak tiba2 zonk krn stock kosong. Ingat customer tuh bukan budak korporat????",Negatif,1
Semua jadi lebih mudah berkat go jek,Positif,0
Membantu,Positif,0
Jgn pake aplikasi ini apalagi yg go paylater cicil menyesatkan g sesuai sistem dasar pinjol,Negatif,1
Bagus,Positif,0
Lumayan,Netral,2
Excellent,Positif,0
"Tolong yah batu agar bisa upgrade ke gopay plus, upgrade selalu gagal padahal udah benar",Netral,2
Membantu saat di butuhkan,Positif,0
Keren,Positif,0
"Saya ko ga bisa masuk akun ?? Sudah di update appsnya, jaringan stabil, bahkan buka menu bantuan aja ga bisa ?? Gimana ini tolong di bantu",Negatif,1
Ok,Netral,2
Mantappp aplikasi andalanku dan penolongku,Positif,0
Ok,Netral,2
SUKSES buat semuanya,Positif,0
Good,Positif,0
"Makin gak jelas nih gojek, padahal udah pake ini bertahun² bisa pulak gopalater ku di blokir,",Negatif,1
Gg,Netral,2
Good,Positif,0
Ok kasih promo lg lah,Netral,2
"Sangat membantu, mantap pokoknya Terim kasih banyak ??????",Positif,0
kurang satu bintang karena terkadang susah dapet Driver ??,Netral,2
"""Terkadang cinta yg terbentuk krna kasihan lebih baik, dibandingkan cinta Karna hasil effort yg berlebihan"" -jakarta2067",Positif,0
jos,Netral,2
Unstopable,Positif,0
"Semakin banyak bug nya, lokasi driver tidak sinkron",Negatif,1
Semuanya ok...tpi sayang gopay pinjam nya bru jga 1hari udah mo ada kermh lgi kya yg bkn ojk.,Negatif,1
Aktifkan gopay pinjam sekarang ????,Netral,2
Pokoknya mantap dh,Positif,0
Sangat bermanfaat dan membantu.,Positif,0
Semakin ke sini semakin ke sono #aplikasi bobrok,Negatif,1
Oke,Netral,2
Gojeg sangat penting bagi kitab yaqin dan ter percaya semoga pelayanannya lebih baek lagi aman dlm perjalanan amin yr a,Positif,0
Membantu skali yg susah bt kluar rumah,Positif,0
Tolong saya sudah tranfer gopay ke bank tapi belum masuk biasanya aman tapi kok sekarang masih di proses terus ya lama banget sampai sekarang belum terkirim,Negatif,1
"Kenapa Gopay gw kena blokir si, padahal gw ga bikin transaksi ilegal??????",Negatif,1
Gosen somday nya hilang .. Parahh..,Negatif,1
Profesional,Positif,0
Sangat bagus karena bis apesen food di aplikasi ini. Semakin batu pakai aplikasi semakin suka,Positif,0
Ok. Tolong masukan input dari mitra driver dan user pengguna di matching kan. Sama-sama diperhatikan. Agar ada keseimbangan improvement nya. Terima kasih????,Positif,0
Cakep,Positif,0
"sayang bgtt deh sama apk gojek, ga kya ijo yg sebelahh????",Positif,0
"Semoga menjadi penggerak dan dpt mensejahterakan ekonomi kecil. Perlu ditinjau, biaya aplikasi sangat besar untuk gocar rata2x Rp.10.000, untuk Gofood rata2x Rp.3.000 .",Positif,0
"Dari 3 hari lalu gak bisa ngasih rating ke resto, server sibuk server sibuk. Ah taiklah",Negatif,1
Tolong saldo gopay saya hilang 40.000 Tolong untuk developer agar merespon,Negatif,1
Kebiasaan buruk driver selalu minta cancel karena titik penjemputan terlalu jauh. Kalau merasa jauh kenapa diambil orderannya? Pagi-pagi saya butuh untuk setiap bulannya untuk mengantar orang tua ke rumah sakit sebulan 2-4 x tetapi selalu di buat jengkel. Sehari minta cancel sampai 10 driver dengan alasan sama. Kejaaauhaaan. Mohon jika tidak sanggup untuk para driver jangan di ambil. Membuang-buang waktu orang saja sampai 2 jam kalau order. Keterlaluan. Otw unistall,Negatif,1
Tolong. Setiap saya mau pesan go ride. Kenapa sellu disuruh bayar 2 kali pada trip sebelumnya. Saya udah ikutin untuk bayar lagi. Besokan nya ada notif. Bawa pembayarn and gagal. Tapi gopay ketarik.. Dari tahun 2022 masalah nya disitu aja...,Negatif,1
Tepat waktu????,Positif,0
tolong donk klo goshop gosend ato gomart dapetin drivernya jgn jauh jauh dari tempat order .... 1 kasian drivernya 2 kurang efisien waktu .. jadi lama,Negatif,1
Aplikasi sampah,Negatif,1
nice,Positif,0
Mantab,Positif,0
"Dikasih driver jauh terus, jadi lama",Negatif,1
mantap,Positif,0
Sangat membantu dengan tarif merakyat,Positif,0
"Tolong kepada pihak develover gojek,saya mau masuk ke akun saya tidak bisa,,karena no hp yg saya daftar sudah hangus,,,tolong untuk login beri kemudahan bagi pengguna,,cukup ketik no hp dan pin,,jangan verifikasi ke sms,,karena pengguna yg no nya sdh hangus...tidak bisa login/menggunakan gojek. #NB SEPERTI APK DANA,,LOGIN CUKUP MEMASUKAN NO HP,,DAN PIN,,WALAUPUN NO SDH TIDAK AKTIF..TETAP BISA LOGIN/ MENGGUNAKAN APK DANA",Negatif,1
Gokil,Netral,2
Driver kadang baru bangun tidur udh nyalain aplikasi jadi nunggu lama,Negatif,1
Very Satisfying,Netral,2
"Gojek terlalu sibuk di saham foto, sampai melupakan customer setia gojek, hapus biaya aplikasi, aplikasi lain tidak ada biaya aplikasi",Negatif,1
Basuki..bagus sekali,Positif,0
"Semenjak gojek sama tokopedia kerjasama, performa keduanya turun, produk yang ditawarkan juga turun, promo promo dan metode pembayaran jadi turun juga, sangat disayangkan",Negatif,1
Pelayanan yg bagus dan profesional bagi para pelanggannya ??????,Positif,0
"Sudah berulang kali saya , trf ke bank selalu di pending , entah kenapa setiap saat selalu begitu, apa saldo saya di pakai terlebih dahulu dan 2 hari anda kembalikan, waktu tunggu sangat lama tidak tahu itu uang untuk kepentingan genting main pending2 aja",Negatif,1
Makin kesini makin menyiksa driver !!! Driver butuh pemasukan bukan butuh pengeluaran setiap harinya !!! Aplikator bisa melihat mana driver yang suka pilih pilih orderan dan mana driver yang tidak pilih pilih orderan !!!,Negatif,1
"Lama2 aplikasi ini kayak sampah ya. Yg paling memuakkan selalu ada keterangan ""no internet conection"", padahal jaringan internetnya baik2 saja. Sinyal full. Saya nulis ini, pake internet, nyatanya bisa. Disaat yg sama, transaksi di gojek, katanya internet no conection. Terus ada keterangan ""server kami padat merayap"", maksunya apa? Dini hari jam setengah 2, masak server sibuk. Sampah kan? Cari Kontak CS juga tidak tersedia. Memang sengaja ditutupi ya?",Negatif,1
Ok,Netral,2
Kecewa.. Berat Karna gopay later tiba tiba di blokir padahal.. Rajin membayar...... ??????????????????????????????,Negatif,1
Sangat senang sekali mengunakan layanan gojek,Positif,0
"grab lebih baik dari gojek ,gojek aplkasi sampah ngerusak harga bonis driver hilang ,driver di peres ampe keringet nya abis aplkasi lintah darat",Negatif,1
"Drivernya sekarang pada malesan, dikit² seenak jidat minta cancel aja. Gatau apa org nunggu lgi penting. Mau ngasih B1 ke drivernya tpi ya kasiyan. Atur tuh driver lu",Negatif,1
Tetap smngtttt trussss mga gojek mndapatkan jln yg terbaik amin sukses slalu ??????,Positif,0
"Woyy,, Gojek itu go pulsa senilai 710.000 transaksi apa, saya tidak pernah melakukan transaksi sebesar itu, apa jangan2 pencucian uang yah, pantesan banyak utang, banyak yg korupsi...",Negatif,1
Kere'nnnn??????,Positif,0
Top,Positif,0
Tak ada hari tanpa gojek...??,Positif,0
semoga yg terbaik,Positif,0
Cukup membantu,Positif,0
"Gopay diblokir secara sepihak , coba banding tapi di tolak",Negatif,1
enak mudah gampang,Positif,0
Aplikator serakah,Negatif,1
Kalau bisa di Banyakan diskon2 nya jek,Positif,0
Ini kenapa saya dr kemaren2 gabisa buka gojek? Udh di uninstall trs download lagi mau login muter terus mengecewakan,Negatif,1
good,Positif,0
Mantap,Positif,0
