,Original,Summary
6404,Keep good work Userfriendly interface easy use easy navigate used shop also pay bills,Userfriendly interface easy use easy navigate used shop also pay bills
6405,handy buy something via Tokopedia thank,handy buy something via Tokopedia thank
6406,Aplikasi simple user friendly go Toped,Aplikasi simple user friendly go Toped
6407,Makasi diskon2nyaa,Makasi diskon2nyaa
6408,Suka transaksi tokopedia,Suka transaksi tokopedia
6409,Mantap pelayanan nya,Mantap pelayanan nya
6410,nicee,nicee
6411,Yuhuuuuu,Yuhuuuuu
6412,Mantap berbelanja,Mantap berbelanja
6413,Kacau downlod cek serba seribu digagalkan sistem kocak tokped,Kacau downlod cek serba seribu digagalkan sistem kocak tokped
6414,promo penjual sebelah,promo penjual sebelah
6415,Simple gampang,Simple gampang
6416,Keren belanja jd praktis cepat,Keren belanja jd praktis cepat
6417,Membantu,Membantu
6418,far Good memuaskan,far Good memuaskan
6419,Good shop Tokopedia,Good shop Tokopedia
6420,Online shop favorit Sistemnya simpel Aman,Online shop favorit Sistemnya simpel Aman
6421,super lengkap promonyaaa,super lengkap promonyaaa
6422,transaksi berhasil bagus 1x kecewa seller yg menjual tutup mesin cuci sesuai fungsi penyelesaian belajar gojek yg cepat tanggap customer complain Langsung diselesaikan dana dikembalikan yg gojek Semoga tokped melakukannya,belajar gojek yg cepat tanggap customer complain
6423,tokped gratis ongkir ga dapet cashback ambil cashback gabisa gratis ongkir,tokped gratis ongkir ga dapet cashback ambil cashback gabisa gratis ongkir
6424,mampir honeytownmarket abisin duit disana ya,mampir honeytownmarket abisin duit disana ya
6425,Greatest,Greatest
6426,2 nungguin penyelesaian komplain sy kejelasan,2 nungguin penyelesaian komplain sy kejelasan
6427,Toped solusi detail kebutuhan sehari susu fresh milk pekerjaan jurnal whitepaper,Toped solusi detail kebutuhan sehari susu fresh milk pekerjaan jurnal whitepaper
6428,Customer service painful experince user friendly,Customer service painful experince user friendly
6429,Nice online shop,Nice online shop
6430,easy payment,easy payment
6431,kali metode pembayaran gausah ga pake cicilan bingung promo syarat Uda gitu ga ngeh pencet yg promo Tautau muncul tagihan yg lupa pake Gopaylater yg dg promonya terbiasa langsung potong Gopaylater penbayaran via CC kasi Bintang 1 membagongkan buyer,terbiasa langsung potong Gopaylater penbayaran via CC
6432,udate aplikasi hisa buka,udate aplikasi hisa buka
6433,Mantabzzzz,Mantabzzzz
6434,helpful finding anything,helpful finding anything
6435,Barang bagus,Barang bagus
6436,Super Application useful reliable,Super Application useful reliable
6437,Pembayaran cpt saler ramah mantab,Pembayaran cpt saler ramah mantab
6438,nt,nt
6439,Semogaa bagus yaa pelayannnya,Semogaa bagus yaa pelayannnya
6440,suka UInya Mudah dimengerti salah klik tombol Thanks ya,Mudah dimengerti salah klik tombol
6441,5 setia pakai Tokopedia Easy use good promo,Easy use good promo
6442,Pajak mudah penggunaan nya,Pajak mudah penggunaan nya
6443,Suka dg kemudahan yg dtawarkan tokopedia,Suka dg kemudahan yg dtawarkan tokopedia
6444,Aplikasi bisnis terpercaya,Aplikasi bisnis terpercaya
6445,pengalaman belanja uiux menyenangkan,pengalaman belanja uiux menyenangkan
6446,Mantab promonya tokopedia pengguna,Mantab promonya tokopedia pengguna
6447,Salah apps online yg gemari,Salah apps online yg gemari
6448,Mantaab aplikasinya,Mantaab aplikasinya
6449,helpful app,helpful app
6450,Gampang gunain,Gampang gunain
6451,Mantaaap bgt mudah bbyk diskon,Mantaaap bgt mudah bbyk diskon
6452,Aplikasi simpel menu belanja lokal pengiriman instan mempermudah mempercepat barang,Aplikasi simpel menu belanja lokal pengiriman instan mempermudah mempercepat barang
6453,suka promo cashback nyaa,suka promo cashback nyaa
6454,Pelapaknya ramah,Pelapaknya ramah
6455,TOP banget dech tokopedia sukses,TOP banget dech tokopedia sukses
6456,top uang elektronik disana tulisannya pembayaran berhasil pas update saldo 0 aplikasi niat nya mencuri kah,aplikasi niat nya mencuri kah
6457,Aplikasi,Aplikasi
6458,Toko pedia keren banget,Toko pedia keren banget
6459,Good application super apps,Good application super apps
6460,Mudah n simpel aplkasinya,Mudah n simpel aplkasinya
6461,Mantapp tokopedia skrg simple cepat palugada,Mantapp tokopedia skrg simple cepat palugada
6462,Tokopedia sajaaaaa,Tokopedia sajaaaaa
6463,kere,kere
6464,super slow always late delivery hard talk problem cs cant call Never gon na use app,Never gon na use app
6465,Best,Best
6466,Ecommerce andalanku,Ecommerce andalanku
6467,berinovasi menambah fitur,berinovasi menambah fitur
6468,Joss tingkatkan tokped,Joss tingkatkan tokped
6469,Mantap membantu mudah gak lemot Yg pentibg diskon nya cashback nya biar pelanggan betah pake tokopedia,Yg pentibg diskon nya cashback nya biar pelanggan betah pake tokopedia
6470,simple mudah cashback nya mantap,simple mudah cashback nya mantap
6471,aplikasinya user friendly fiturnya lengkap kupon gratis ongkirnya jg suka bgt fitur lucky egg pastinya bermanfaat Terima kasih,Terima kasih
6472,Si ijo emang gk obat 22nya,Si ijo emang gk obat 22nya
6473,Cakepp,Cakepp
6474,Pusat resolusinya terotomatis sentuhan personal bikin frustrasi kali bermasalah kurir JNE penilaian kurir DISARANKAN PAKAI JNE,Pusat resolusinya terotomatis sentuhan personal bikin frustrasi kali bermasalah kurir JNE penilaian kurir DISARANKAN PAKAI JNE
6475,pakai point cashback 100 kerennn tokopedia mah,pakai point cashback 100 kerennn tokopedia mah
6476,bug UI iphone gak fungsional,bug UI iphone gak fungsional
6477,Mantabs tokped,Mantabs tokped
6478,Mantap sangadh membantu,Mantap sangadh membantu
6479,Bayar tagihan mudah,Bayar tagihan mudah
6480,Cant close user reviews photo iphone x,Cant close user reviews photo iphone x
6481,Good Apps used,Good Apps used
6482,Love shopping,Love shopping
6483,pembeli dirugikan admin tokopedia membebankan batasan bukti bukti pembeli penjual penjual tokopedia membiarkan batasan merespond pembeli bukti test video,pembeli dirugikan admin tokopedia membebankan batasan bukti bukti pembeli penjual penjual tokopedia membiarkan batasan merespond pembeli bukti test video
6484,Genteng nya kak jgn lupa selesaikan,Genteng nya kak jgn lupa selesaikan
6485,keren aplikasi membantu disaat butuh kepercayaan penjual pembeli dijaga jd way tipu2 kemarin beli gak sesuai deskripsi admin toped langsung sigap membantu platform favorit no1,keren aplikasi membantu disaat butuh kepercayaan penjual pembeli dijaga jd way tipu2 kemarin beli gak sesuai deskripsi admin toped langsung sigap membantu platform favorit no1
6486,Bintang yg mewakili,Bintang yg mewakili
6487,trims tokopedia,trims tokopedia
6488,Okeeeeee,Okeeeeee
6489,langsung dikirim,langsung dikirim
6490,mantap djiwaa,mantap djiwaa
6491,Recommended online shops,Recommended online shops
6492,Skrg cashbacknya pelitttt tp aplikasinya emg bagussss,Skrg cashbacknya pelitttt tp aplikasinya emg bagussss
6493,Mantap semuanye,Mantap semuanye
6494,Great application,Great application
6495,Fav online market place,Fav online market place
6496,Mantap emang,Mantap emang
6497,membantu keuangan dapur semenjak Indodana,membantu keuangan dapur semenjak Indodana
6498,Mantap boi,Mantap boi
6499,Semoga tokped mempekerjakan manusia membalas chat keluhan komplain lain2,Semoga tokped mempekerjakan manusia membalas chat keluhan komplain lain2
6500,Tolong sistem update seminggu barang gak diupdate statusnyaa jengkel,Tolong sistem update seminggu barang gak diupdate statusnyaa jengkel
6501,Aplikasi marketplace memudahkan pembeli mencari barang Fiturfitur user friendly mantul mantab,Fiturfitur user friendly mantul mantab
6502,Nice,Nice
6503,phone iPhone XR 510 minutes browsing around tokopedia starting lagging phone starts heat phone start lagging close app phone back normal,phone iPhone XR 510 minutes browsing around tokopedia starting lagging phone starts heat phone start lagging close app phone back normal
6504,koleksi barang,koleksi barang
6505,Joss gandos thanks tokped,Joss gandos thanks tokped
6506,love,love
6507,Produk tokopedia bagus promo bebas ongkirnya bkin gak ragu belanja,Produk tokopedia bagus promo bebas ongkirnya bkin gak ragu belanja
6508,Aplikasi bermanfaat,Aplikasi bermanfaat
6509,Barang butuhkan,Barang butuhkan
6510,Good job Tokopedia,Good job Tokopedia
6511,Modest well designed customer requested,Modest well designed customer requested
6512,using tokopedia years many platforms shopping bills taxes emoney games voucher interface simple run smooth even aged device rich payment methods truth install use tokopedia daily basis bayar truly genius ecommerce cant compete great jobs dev,using tokopedia years many platforms shopping bills taxes emoney games voucher interface simple run smooth even aged device rich payment methods truth install use tokopedia daily basis bayar truly genius ecommerce cant compete great jobs dev
6513,membantu penjualan,membantu penjualan
6514,Bagus banget,Bagus banget
6515,Mudah aman ketimbang toko sebelah,Mudah aman ketimbang toko sebelah
6516,Free ongkir,Free ongkir
6517,Oke oce,Oke oce
6518,membantu belanja online,membantu belanja online
6519,Keren ka keep promo ya,Keren ka keep promo ya
6520,Jos jiss appnya,Jos jiss appnya
6521,Pemberian promo sesuai lgsung pengguna,Pemberian promo sesuai lgsung pengguna
6522,bermanfaat jual beli,bermanfaat jual beli
6523,Good ditingkatkan,Good ditingkatkan
6524,Mantap,Mantap
6525,Order samday pake gosend cancel cepat zonk,Order samday pake gosend cancel cepat zonk
6526,Sistemnya ok user friendly ebay buatan us mah,Sistemnya ok user friendly ebay buatan us mah
6527,voucher discount cash back,voucher discount cash back
6528,transaksi tokped penjual ok respon admin cepat ramah Top banget pokoknya Sdh langganan berulang kali order,Sdh langganan berulang kali order
6529,Gak ribet terpercaya pokoknya,Gak ribet terpercaya pokoknya
6530,Bagus Gak nyebelin,Bagus Gak nyebelin
6531,Semoga amanah,Semoga amanah
6532,Aplikasi berguna dlm berniaga karya anak bangsa,Aplikasi berguna dlm berniaga karya anak bangsa
6533,puas belanja tokped,puas belanja tokped
6534,Mudah aman,Mudah aman
6535,gabung dgn Gojek belanja Gopaypoin Makasihyes,Gopaypoin
6536,terbaik,terbaik
6537,Keren deh pokoknya banyakin promo yaa,Keren deh pokoknya banyakin promo yaa
6538,Bangga pakai Tokopedia,Bangga pakai Tokopedia
6539,Cepat praktis mantab,Cepat praktis mantab
6540,terpercaya,terpercaya
6541,Thus application good,Thus application good
6542,membaik ga mengecawakan,membaik ga mengecawakan
6543,Praktis nggak ribet mudah aman varian barang Mantap,Mantap
6544,Interfacenya mudah gampang banget klik klik belanja,Interfacenya mudah gampang banget klik klik belanja
6545,Mantaaap byk discount nya,Mantaaap byk discount nya
6546,Aplikasi yg membantu,Aplikasi yg membantu
6547,Senang akuuuuu,Senang akuuuuu
6548,,
6549,Gg bgt,Gg bgt
6550,mantab tarik saldo mudah aman,mantab tarik saldo mudah aman
6551,Cari berkualitas ya tokopedia,Cari berkualitas ya tokopedia
6552,Cepat terproses,Cepat terproses
6553,Belanja menyenangkan,Belanja menyenangkan
6554,Terbaiklah,Terbaiklah
6555,Baguuusss,Baguuusss
6556,Pembayaran Tokopedia dgn virtual acc cepat praktis dpt kupon Congratulations Tokopedia Sukses jd berkat Warga 62,dpt kupon
6557,Mudah penggunaannya,Mudah penggunaannya
6558,Mantap tokopedia semoga mendominasi dunia ecommerce BCA mendominasi perbankan,Mantap tokopedia semoga mendominasi dunia ecommerce BCA mendominasi perbankan
6559,Tokopedia salah platform penjualan online termurah gratis ongkir menyediakan pelatihan bekerjasama prakerja kemnaker terima kasih tokopedia meningkatkan ilmu,Tokopedia salah platform penjualan online termurah gratis ongkir menyediakan pelatihan bekerjasama prakerja kemnaker terima kasih tokopedia meningkatkan ilmu
6560,great service UI choice products promo,great service UI choice products promo
6561,Belanja mudah aman,Belanja mudah aman
6562,best mudah nyaman,best mudah nyaman
6563,membantu belanja,membantu belanja
6564,Ntah udah ratus ribu topup emoney tokped gagal Pedahal udh transfer Kacau ngurusnya biar duit ribet banget Gak banget topup emoney,Kacau ngurusnya biar duit ribet banget
6565,suka dapet bonus,suka dapet bonus
6566,Top 5 bintang,Top 5 bintang
6567,yg ok membeli online mudah pembayaran,yg ok membeli online mudah pembayaran
6568,diandalkan,diandalkan
6569,Jarang bgt dpt gratong dr tokped,Jarang bgt dpt gratong dr tokped
6570,aja tokopedia apps nya simple,aja tokopedia apps nya simple
6571,simple cepat akurat,simple cepat akurat
6572,Seneng bener belanja toped barang bagus n memuaskan bayar2 gampang banget,Seneng bener belanja toped barang bagus n memuaskan bayar2 gampang banget
6573,membantu berbelanja,membantu berbelanja
6574,great UI UX,great UI UX
6575,Saldo ditahan sih,Saldo ditahan sih
6576,Good Job Team Tokopedia keep good work,Good Job Team Tokopedia keep good work
6577,ragukan,ragukan
6578,fast,fast
6579,Belanja mudah cepat lengkap,Belanja mudah cepat lengkap
6580,great Apps reccomended,great Apps reccomended
6581,memudahkan bertransaksi yg butuhkan,memudahkan bertransaksi yg butuhkan
6582,Puas aman,Puas aman
6583,gampang pakainya aja adal namanya,gampang pakainya aja adal namanya
6584,toko sebelah sy suka belanja tokped Aplikasi mudah ga beribet Suka tokped Salam sahabatku yg kerja tokped,Salam sahabatku yg kerja tokped
6585,disuruh,disuruh
6586,Pelayanan bagus,Pelayanan bagus
6587,Mantab gampang mencari menu yg gratis ongkir,Mantab gampang mencari menu yg gratis ongkir
6588,Biaya admin cicilan kartu kredit gila gede bgt,Biaya admin cicilan kartu kredit gila gede bgt
6589,Menu transaksi pilihan pembayaran komplit,Menu transaksi pilihan pembayaran komplit
6590,Bauxuhwis,Bauxuhwis
6591,Aplikasi bagus memuaskan date,Aplikasi bagus memuaskan date
6592,Sistemnya oke aman mudah bertransaksi,Sistemnya oke aman mudah bertransaksi
6593,Semoga lemot php dipertahankan,Semoga lemot php dipertahankan
6594,Puas pelayanan tokopdedia,Puas pelayanan tokopdedia
6595,Pengen trs belanja,Pengen trs belanja
6596,tokopedia emang best deh UIUX easy use bgt gampang dimengerti gak berantakan,gampang dimengerti gak berantakan
6597,90 belanja online aplikasi seingatku aplikasi belanja online yg kupakai cari barang aplikasi klo emang barang nggak tokped barang nggak aplikasi Mantap tokped pelayanan terbaik,cari barang aplikasi klo emang barang nggak tokped barang nggak aplikasi
6598,aja barang cari kalo tokopedia solusi mudah cepat,solusi mudah cepat
6599,Cepat efisien praktis,Cepat efisien praktis
6600,toko penipuan yg ditindak,toko penipuan yg ditindak
6601,Great app user friendly almost every product need Essential,Essential
6602,inovasi inovatif yaa tokped mantapp,inovasi inovatif yaa tokped mantapp
6603,Penak transaksi mudah,Penak transaksi mudah
6604,pokoke ajib mazzehh,pokoke ajib mazzehh
6605,Kualitas uda kaya jersey bola tim original ga ragu beli,Kualitas uda kaya jersey bola tim original ga ragu beli
6606,pilihan utama belanja online,pilihan utama belanja online
6607,kereeeeennn parah,kereeeeennn parah
6608,Always simple use,Always simple use
6609,Excellent service,Excellent service
6610,Tokopedia falling behind Shopee English version app Expats visitors Indonesia must use alternative online stores lacks basic feature,Expats visitors Indonesia must use alternative online stores lacks basic feature
6611,Bagus banget hehe,Bagus banget hehe
6612,App lancar mudah cari fitur Desainnya gak rame,Desainnya gak rame
6613,tokopedia mantap,tokopedia mantap
6614,dood good good,dood good good
6615,mantap aplikasi nya mudah seller buyer,mantap aplikasi nya mudah seller buyer
6616,Suka bangettttt,Suka bangettttt
6617,Skrng enak pakai Tokopedia Card cicilan 0,Skrng enak pakai Tokopedia Card cicilan 0
6618,Aplikasi belanja online terbaik penggunaan mudahcepataman ngga bikin bingung belanjanya,Aplikasi belanja online terbaik penggunaan mudahcepataman ngga bikin bingung belanjanya
6619,pembatalan belanjaan uang hilang utuh dipake belanja,pembatalan belanjaan uang hilang utuh dipake belanja
6620,Udah kasih 5 bintang trus popup rating error ga dapet 5 lg,Udah kasih 5 bintang trus popup rating error ga dapet 5 lg
6621,Expand upgrade donk servernya min udah jamannya visitor 100 juta orang,Expand upgrade donk servernya min udah jamannya visitor 100 juta orang
6622,bebas ongkir potongan harga lumayan,bebas ongkir potongan harga lumayan
6623,Keterangannya lengkap,Keterangannya lengkap
6624,Aplikasi mudah cepat murah kebanggaan milik bangsa indonesia yg,Aplikasi mudah cepat murah kebanggaan milik bangsa indonesia yg
6625,knp tambahan biaya transaksi pd cash tokopedia pdhal dah kesimpen disana kapitalis,pdhal dah kesimpen disana kapitalis
6626,Kerenn,Kerenn
6627,Belanja jd mudah tp promo gratis ongkirnya ga aplikasi sebelah,Belanja jd mudah tp promo gratis ongkirnya ga aplikasi sebelah
6628,Aplikasi super membantu mudah Terimakasih Tokopedia,mudah
6629,pay,pay
6630,Mohon admin kerja samanya transaksi pembayaran sesuai nominal celhek pesanan batalin otomatis toko pedia pembelian kecewa beda aplikasi sebelah aman2 aja,Mohon admin kerja samanya transaksi pembayaran sesuai nominal celhek pesanan batalin otomatis toko pedia pembelian kecewa beda aplikasi sebelah aman2 aja
6631,Pelayanan Tokopedia bagus mantap melindungi konsumen penjual Yg suka sistem pembayaran mudah Rekenong Tokopedia Aman hehe Sukses Tokopedia Online Shop nomor 1 Indonesia,Pelayanan Tokopedia bagus mantap melindungi konsumen penjual Yg suka sistem pembayaran mudah Rekenong Tokopedia Aman hehe Sukses Tokopedia Online Shop nomor 1 Indonesia
6632,Recommended apps,Recommended apps
6633,Friendly user Easy browse simple payment process monitor delivery status,Friendly user Easy browse simple payment process monitor delivery status
6634,Gandhos,Gandhos
6635,Akun dapet gratis ongkir pelanggaran aneh,Akun dapet gratis ongkir pelanggaran aneh
6636,good attitude,good attitude
6637,Belanja sore sore mudah seru,Belanja sore sore mudah seru
6638,Mantap seksli smoga smkin bnyk vocher gratis ongkirnya,Mantap seksli smoga smkin bnyk vocher gratis ongkirnya
6639,Baik2 sajo,Baik2 sajo
6640,Tambahin promo biar sy rajin blnja dsni,Tambahin promo biar sy rajin blnja dsni
6641,Aplikasi yg informatif tampilannya menu pencarian barang mantap,Aplikasi yg informatif tampilannya menu pencarian barang mantap
6642,Using Tokopedia since born,Using Tokopedia since born
6643,Kadang gagal proses pengembaliam dana nya,Kadang gagal proses pengembaliam dana nya
6644,Thankfully,Thankfully
6645,Tks promo bebas ongkir nya,Tks promo bebas ongkir nya
6646,butuh brp jam br cs ny balas,butuh brp jam br cs ny balas
6647,nan,nan
6648,tingkatkan mutu,tingkatkan mutu
6649,Belanja tokopedia mudah pembayaran link bca virtual menulis jumplah pembayaran langsung otomatia bca virtual,pembayaran link bca virtual
6650,Power merchant lu mahalan nyusahin penjual saldo diambil ditahan diperbaiki,Power merchant lu mahalan nyusahin penjual saldo diambil ditahan diperbaiki
6651,Belanja next time,Belanja next time
6652,Thank Tokopedia Keep improve facilities make shop easier discount vouchers loyalty customers,Keep improve facilities make shop easier discount vouchers loyalty customers
6653,pelanggan setia Tokped Ratarata pengalaman belanja mudah menyenangkan,Ratarata pengalaman belanja mudah menyenangkan
6654,belanja lengkap OK,belanja lengkap OK
6655,Mantab proteksi dr pemutusan jar jd klo tesilap lupa byr gk ktr pdam,Mantab proteksi dr pemutusan jar jd klo tesilap lupa byr gk ktr pdam
6656,long works well complain,long works well complain
6657,never fails,never fails
6658,lemot,lemot
6659,Tokopedia penyelenggara konser Indonesia Belanja menampilkan BTS Rabu 2972020 banjir pujian kalangan ARMY tanggungtanggung ARMY menetapkan acara Tokopedia standar layak mengundang BTS ARMY membandingkan kualitas acara Amerika Tokopedia mengundang BTS,tanggungtanggung ARMY menetapkan acara Tokopedia standar layak mengundang BTS
6660,Belanja 23 rb free ongkir sd 40 rb,Belanja 23 rb free ongkir sd 40 rb
6661,Easy buy easy pay,Easy buy easy pay
6662,kebantu dgn cepat thxs,kebantu dgn cepat thxs
6663,lambat,lambat
6664,andalanku nih,andalanku nih
6665,Si hijau menyenangkan hati belanja kebutuhan,Si hijau menyenangkan hati belanja kebutuhan
6666,Aplikasi eye cathing easy use Thnks TOKOPEDIA,Thnks TOKOPEDIA
6667,good helpful application,good helpful application
6668,love harap love,love harap love
6669,Praktis mudah,Praktis mudah
6670,Thanks tokped,Thanks tokped
6671,Tgl 29 Jan memesan flexible alum pipe 4 double lyer dng hrg 320rb perbuah 2 buah terima tgl 31 Jan barang yg dikirim single lyer dng harga 140rb penyelesaian Toko penjual toko Kartika yg JUJUR,Toko penjual toko Kartika yg JUJUR
6672,Marketplace terbaek,Marketplace terbaek
6673,Mudah dlm penggunaan pilihannya,Mudah dlm penggunaan pilihannya
6674,Dalat cashbac,Dalat cashbac
6675,Mudah pesanan akurat,Mudah pesanan akurat
6676,Aplikasi membantu berbelanja,Aplikasi membantu berbelanja
6677,Transaksi Mudah Barang Cepat,Transaksi Mudah Barang Cepat
6678,think good app,think good app
6679,Good job tokopedia,Good job tokopedia
6680,far good,far good
6681,Pembelian barang gasampe2 komplain barang gasampe dana sampe belom,Pembelian barang gasampe2 komplain barang gasampe dana sampe belom
6682,Puas banget belanja Tokped,Puas banget belanja Tokped
6683,Puas deh,Puas deh
6684,Ecommerce terfavorit deh kinerja nya kenceng,Ecommerce terfavorit deh kinerja nya kenceng
6685,kaya one solution Indonesia thanks Toped intinya awas aja ngadi2,kaya one solution Indonesia thanks Toped intinya awas aja ngadi2
6686,Pokoknya puas Puaaaasssss,Puaaaasssss
6687,Manteeppghh,Manteeppghh
6688,okke,okke
6689,Ulasan,Ulasan
6690,Baguw,Baguw
6691,App buy stuff indo,App buy stuff indo
6692,Sekian belanja online Tokopedia puas layanan yg Kesesuaian kualitas barang kecepatan pengantaran harga barang memuaskan pertahankan kualitas layanan,Kesesuaian kualitas barang kecepatan pengantaran harga barang memuaskan
6693,Mantaaabbbb,Mantaaabbbb
6694,behh,behh
6695,nan,nan
6696,belanja online ya tokopedia aja,belanja online ya tokopedia aja
6697,Dms,Dms
6698,belanja tokopedia diskon gratis ongkirnya Sukses tokopedia,Sukses tokopedia
6699,puas beli toped respon admin cepat Pengembalian dana jg cepat ketimbang yg orange,Pengembalian dana jg cepat ketimbang yg orange
6700,Tokonya aplikasinya mudah produknya,Tokonya aplikasinya mudah produknya
6701,Shopping online becoming easier,Shopping online becoming easier
6702,Terima kasih tokopedia memudahkan pembayaran2 cashback tingkatkan aplikasinya,Terima kasih tokopedia memudahkan pembayaran2 cashback tingkatkan aplikasinya
6703,Terimakasih Tokopedia super recomended dlm bertransaksi kelas marketplace,Terimakasih Tokopedia super recomended dlm bertransaksi kelas marketplace
6704,opinion Tokopedia best app comes online shopping Wish cashback tho used lot separated free shipping Kind let still best app shopping,used lot separated free shipping
6705,Oklah,Oklah
6706,Easy use bs aja,Easy use bs aja
6707,Aplikasi membantu,Aplikasi membantu
6708,Spy Toped Jaya Thanks yah Toped,Spy Toped Jaya Thanks yah Toped
6709,mantap aplikasinya lengkap bagus sayangnya ya lemot aja hape,mantap aplikasinya lengkap bagus sayangnya ya lemot aja hape
6710,Mantap Recommended,Recommended
6711,Pake promo cashback 1jt dibatalkan dri sananya WKWK gamau rugi ya tokped WKWK,WKWK
6712,Terima kasih Tokopedia,Terima kasih Tokopedia
6713,Amanah,Amanah
6714,Udah ga bs liat gambar nya app,Udah ga bs liat gambar nya app
6715,Skrg promo cashback nya ud jarang trus transaksi belanja dikenakan 1000 rupiah biaya admin token listrik yg masi 2750 cm toped yg 3000,Skrg promo cashback nya ud jarang trus transaksi belanja dikenakan 1000 rupiah biaya admin token listrik yg masi 2750 cm toped yg 3000
6716,Cocoxkk lahh bosqu,Cocoxkk lahh bosqu
6717,bagus aja pembayaran simpel gak lemot kaya oren,bagus aja pembayaran simpel gak lemot kaya oren
6718,Best online shop Indonesia,Best online shop Indonesia
6719,Helping enough shopping,Helping enough shopping
6720,membantu,membantu
6721,membantu barang yg pembayaran nya simple,membantu barang yg pembayaran nya simple
6722,Udah pakai tokopedia,Udah pakai tokopedia
6723,Daley flassale cuman bayar glue,Daley flassale cuman bayar glue
6724,Always helpfull,Always helpfull
6725,Mudah dlm pencarian barang lengkap aman dlm bertransaksi info pengiriman Ok,Mudah dlm pencarian barang lengkap aman dlm bertransaksi info pengiriman Ok
6726,Proses cepat pelayanan memuaskan,Proses cepat pelayanan memuaskan
6727,Fast process,Fast process
6728,nice platform practical,nice platform practical
6729,premium,premium
6730,update ios 10 sulit belanja chat pedagang tolong perhatikan pemakai hp jadul terimakasih,update ios 10 sulit belanja chat pedagang tolong perhatikan pemakai hp jadul terimakasih
6731,Sy puas Tokopedia best,Sy puas Tokopedia best
6732,Clear easytouse interface secure processing widest range products,Clear easytouse interface secure processing widest range products
6733,puas belanja online tokped,puas belanja online tokped
6734,Great shopping experience Convenience click button,Convenience click button
6735,favorit produk range lengkap UIUX mudah chat seller gampang ga lemot,favorit produk range lengkap UIUX mudah chat seller gampang ga lemot
6736,bintang yg bicara,bintang yg bicara
6737,oengalaman ditipu penjual dgn Resi yg Invalid Tokopedia Kebohongan tsb kebohongan tsb berhasil Selamat sukses Tokopedia dipercaya pelanggan Indonesia Trima kasih Tokopedia,oengalaman ditipu penjual dgn Resi yg Invalid Tokopedia Kebohongan tsb kebohongan tsb berhasil Selamat sukses Tokopedia dipercaya pelanggan Indonesia Trima kasih Tokopedia
6738,Aplikasi bagus warnanya enak diliat mudah cari2 barang sip,Aplikasi bagus warnanya enak diliat mudah cari2 barang sip
6739,puas dg proses verifikadi,puas dg proses verifikadi
6740,Nice n easy use,Nice n easy use
6741,suka tokopedia memudahkan berbelanja dimana,suka tokopedia memudahkan berbelanja dimana
6742,Kesukaan pria,Kesukaan pria
6743,Tarik uang,Tarik uang
6744,love seller Tokopedia,love seller Tokopedia
6745,Gokil banget udah excited check krn promo payment jg done dananya refund kesalahan system Pas coba login check promo yg dipilih ngefreeze gabisa dipilih wkwkwk wasting time Klo kasih promo yaudah kasih aja klo gak ya gausah iming2,Pas coba login check promo yg dipilih ngefreeze gabisa dipilih wkwkwk wasting time
6746,far app helps quite much finding things need keep good work,far app helps quite much finding things need keep good work
6747,really helps,really helps
6748,belanja Toko Pedia,belanja Toko Pedia
6749,Puas cm kaget aja pemotongan power merchantnya lgsg dr transaksi,Puas cm kaget aja pemotongan power merchantnya lgsg dr transaksi
6750,membantu memudahkan,membantu memudahkan
6751,Senang belanja ditokopedia,Senang belanja ditokopedia
6752,Mantap kali aplikasi,Mantap kali aplikasi
6753,pembeli Promo berkurang penjual potongan,pembeli Promo berkurang penjual potongan
6754,Mudah mengerti,Mudah mengerti
6755,helpfull,helpfull
6756,Kemrn dikasih sambal cumi nya stlh dimakan pake nasi panas uenak teryt coba beli ketagihan sambal nya,Kemrn dikasih sambal cumi nya stlh dimakan pake nasi panas uenak teryt coba beli ketagihan sambal nya
6757,Olshop recommend pokonya,Olshop recommend pokonya
6758,memudahkan custumer mencari barang,memudahkan custumer mencari barang
6759,Tokopedia mantapp,Tokopedia mantapp
6760,Marketplace diandalkan sukses,Marketplace diandalkan sukses
6761,Sdh pakai toped gak kecewa puaasss,Sdh pakai toped gak kecewa puaasss
6762,Mantap,Mantap
6763,app online shoop ramah,app online shoop ramah
6764,Reliable,Reliable
6765,Trusting app safety,Trusting app safety
6766,Mantab toko ijoo,Mantab toko ijoo
6767,pelayanan ok cepat ramah,pelayanan ok cepat ramah
6768,manntaap,manntaap
6769,cool,cool
6770,Go GoTo,Go GoTo
6771,UI enak diliht drpd aplikasi oren official store yg branded,UI enak diliht drpd aplikasi oren official store yg branded
6772,Barang yg diterima dlm kondisi bagus follow cepat Terima kasih tokopedia,Terima kasih tokopedia
6773,mengecewakan tapiii cashbacknya,mengecewakan tapiii cashbacknya
6774,Bagus Mengecewak,Bagus Mengecewak
6775,andalan pas pembelian online UI simple rapi info lengkap klo komplen komunikasi call center,andalan pas pembelian online UI simple rapi info lengkap klo komplen komunikasi call center
6776,doubt helpfull,helpfull
6777,Potongan kubu ijo,Potongan kubu ijo
6778,Good Promo,Good Promo
6779,Tokopedia membantu mencari gadget barang elektronik,Tokopedia membantu mencari gadget barang elektronik
6780,bad,bad
6781,Memudahkan sy belanja Saran bandwidth gedein boss lag klo promo Susah bener ane masuknya Gambar aja gk internet galat,Susah bener ane masuknya
